id,Название обьекта,Адрес,Регион,Срок сдачи,Кол-во квартир,Максимум этажей,Минимум этажей,Отделка,Грузоподъемность лифтов,Наличие парковки,Наличие велодорожки,Наличие детской площадки,Наличие спортивной площадки,Застройщик,Email застройщика,Тел. застройщика
13383,,г Тюмень,72,2022-12-31,68,20,4,,5.0,31,0,1.0,1.0,2МЕН ГРУПП,info@2mengroup.ru,+7(345)279-18-88
13398,,"г Тюмень, ул Профсоюзная, д. 56",72,2024-12-31,43,10,7,,3.0,0,0,1.0,1.0,2МЕН ГРУПП,info@2mengroup.ru,+7(345)279-18-88
13397,,"г Тюмень, ул Профсоюзная, д. 56",72,2024-12-31,65,12,6,,5.0,0,0,1.0,1.0,2МЕН ГРУПП,info@2mengroup.ru,+7(345)279-18-88
13399,,"г Тюмень, ул Профсоюзная, д. 56",72,2024-12-31,0,1,1,,8.0,125,0,0.0,0.0,2МЕН ГРУПП,info@2mengroup.ru,+7(345)279-18-88
36912,,"г Ставрополь, ул Шпаковская, Доваторцев, д. 107, 38, блок-секция БС-1, БС-2, БС-3",26,2022-12-31,104,10,2,,3.0,42,0,1.0,0.0,CПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙРЕСУРС,sz.stroyresurs@yandex.ru,+7(865)223-03-08
10891,"Жилой комплекс ""Рафинад""","г Вологда, ул Медуницинская, д. 7",35,2023-03-31,225,16,16,,3.0,0,0,1.0,1.0,АКЦИОНЕРНАЯ АГРОСТРОИТЕЛЬНАЯ КОМПАНИЯВОЛОГДААГРОСТРОЙ,vologdaagrostroy@yandex.ru,+7(817)274-79-00
8809,,"город Южноуральск, улица Сергея Буландо, д. 8",74,2019-03-31,129,10,10,,,0,0,,,АБСОЛЮТ,stroikomplekt2@mail.ru,+7(351)272-03-02
8810,,"город Южноуральск, улица Сергея Буландо, д. 8",74,2019-03-31,119,10,10,,,0,0,,,АБСОЛЮТ,stroikomplekt2@mail.ru,+7(351)272-03-02
39176,"ЖК ""FRESH"" (ЖК ""ФРЕШ"" литер 4)","г Краснодар, улица Валерия Гассия, д. 4/7, литера 4",23,2024-09-30,198,25,25,,3.0,0,0,5.0,5.0,АВА ДЕВЕЛОПМЕНТ ПЛЮС,elreg@ask-yug.com,+7(800)222-10-10
39175,"ЖК ""FRESH"" (ЖК ""ФРЕШ"" литер 3)","г Краснодар, улица Валерия Гассия, д. 4/7, литера 3",23,2023-06-30,396,25,25,,6.0,0,0,5.0,5.0,АВА ДЕВЕЛОПМЕНТ ПЛЮС,elreg@ask-yug.com,+7(800)222-10-10
27049,Апарт-Отель The Grand Palace,"город Краснодар, улица Уральская, д. 75/6",23,2023-06-30,0,16,3,,5.0,66,0,0.0,0.0,АВА-ДЕВЕЛОПМЕНТ,elreg@ask-yug.com,+7(800)222-10-10
41420,,"г Новосибирск, пер Серебряный, строение 1",54,2023-06-30,8,4,4,,0.0,0,0,0.0,0.0,АВАЛОН,bl_nsk@mail.ru,+7(383)349-90-65
